Report Type,Class,Year,Season,Month,State
Report,Class A,2021,Fall,October,Washington
Report,Class B,2021,Fall,October,Utah
Report,Class B,2021,Fall,September,Texas
Report,Class B,2021,Fall,September,Texas
Report,Class B,2021,Fall,October,Oklahoma
Report,Class B,2021,Spring,May,Washington
Report,Class B,2021,Spring,April,Washington
Report,Class A,2021,Spring,March,Tennessee
Report,Class A,2021,Spring,March,South Carolina
Report,Class A,2021,Spring,April,Ohio
Report,Class B,2021,Spring,May,North Carolina
Report,Class A,2021,Spring,May,Kansas
Report,Class A,2021,Spring,March,Florida
Report,Class B,2021,Spring,June,California
Report,Class A,2021,Summer,July,Wisconsin
Report,Class A,2021,Summer,August,Washington
Report,Class B,2021,Summer,,Virginia
Report,Class A,2021,Summer,June,Tennessee
Report,Class B,2021,Summer,June,Ohio
Report,Class B,2021,Summer,June,Ohio
Report,Class B,2021,Summer,July,Ohio
Report,Class B,2021,Summer,July,Ohio
Report,Class B,2021,Summer,June,Missouri
Report,Class B,2021,Summer,June,Illinois
Report,Class A,2021,Summer,August,Florida
Report,Class B,2021,Summer,June,Colorado
Report,Class A,2021,Summer,,Arizona
Report,Class B,2021,Winter,January,Virginia
Report,Class B,2021,Winter,January,Michigan
Report,Class B,2021,Winter,January,Illinois
Report,Class B,2021,Winter,January,Florida
Report,Class B,2021,Winter,January,California
Report,Class B,2020,Fall,September,Washington
Report,Class B,2020,Fall,October,Washington
Report,Class B,2020,Fall,September,Washington
Report,Class B,2020,Fall,December,Washington
Report,Class B,2020,Fall,October,Washington
Report,Class A,2020,Fall,October,Virginia
Report,Class A,2020,Fall,October,Texas
Report,Class B,2020,Fall,October,South Carolina
Report,Class B,2020,Fall,October,Oklahoma
Report,Class B,2020,Fall,October,Oklahoma
Report,Class A,2020,Fall,October,Ohio
Report,Class A,2020,Fall,September,Ohio
Report,Class B,2020,Fall,October,New York
Report,Class A,2020,Fall,October,Missouri
Report,Class A,2020,Fall,November,Minnesota
Report,Class B,2020,Fall,November,Maine
Report,Class A,2020,Fall,September,Maine
Report,Class B,2020,Fall,October,Maine
Report,Class B,2020,Fall,October,Illinois
Report,Class B,2020,Fall,October,Idaho
Report,Class B,2020,Spring,May,Washington
Report,Class B,2020,Spring,April,Washington
Report,Class B,2020,Spring,May,Washington
Report,Class B,2020,Spring,April,Tennessee
Report,Class B,2020,Spring,April,Pennsylvania
Report,Class B,2020,Spring,April,Oregon
Report,Class B,2020,Spring,April,Oklahoma
Report,Class B,2020,Spring,April,Ohio
Report,Class B,2020,Spring,April,Ohio
Report,Class B,2020,Spring,May,New York
Report,Class A,2020,Spring,April,Montana
Report,Class B,2020,Spring,May,Missouri
Report,Class A,2020,Spring,May,Indiana
Report,Class B,2020,Spring,February,Idaho
Report,Class A,2020,Spring,April,Alabama
Report,Class B,2020,Summer,June,Washington
Report,Class B,2020,Summer,August,Washington
Report,Class B,2020,Summer,August,Washington
Report,Class B,2020,Summer,August,Washington
Report,Class B,2020,Summer,September,Washington
Report,Class B,2020,Summer,August,Oregon
Report,Class A,2020,Summer,June,North Carolina
Report,Class B,2020,Summer,July,New Mexico
Report,Class A,2020,Summer,July,Missouri
Report,Class B,2020,Summer,August,Missouri
Report,Class A,2020,Summer,August,Michigan
Report,Class B,2020,Summer,August,Massachusetts
Report,Class B,2020,Summer,June,Indiana
Report,Class B,2020,Summer,July,Illinois
Report,Class B,2020,Summer,August,Idaho
Report,Class B,2020,Summer,July,California
Report,Class B,2020,Summer,,California
Report,Class A,2020,Summer,June,Alabama
Report,Class A,2020,Winter,January,Washington
Report,Class B,2020,Winter,December,Washington
Report,Class A,2020,Winter,January,North Carolina
Report,Class A,2020,Winter,December,Florida
Report,Class A,2019,Fall,October,Virginia
Report,Class A,2019,Fall,October,Ohio
Report,Class B,2019,Fall,September,Missouri
Report,Class A,2019,Fall,October,Connecticut
Report,Class A,2019,Fall,October,Connecticut
Report,Class B,2019,Fall,November,California
Report,Class B,2019,Fall,October,California
Report,Class A,2019,Spring,April,Virginia
Report,Class A,2019,Spring,May,Texas
Report,Class A,2019,Spring,April,Texas
Report,Class A,2019,Spring,April,Oklahoma
Report,Class B,2019,Spring,June,North Carolina
Report,Class A,2019,Spring,June,Montana
Report,Class A,2019,Spring,March,Missouri
Report,Class B,2019,Spring,May,Colorado
Report,Class A,2019,Summer,July,Wisconsin
Report,Class B,2019,Summer,June,Wisconsin
Report,Class B,2019,Summer,September,Washington
Report,Class B,2019,Summer,June,Washington
Report,Class A,2019,Summer,August,Vermont
Report,Class B,2019,Summer,July,Texas
Report,Class A,2019,Summer,July,Texas
Report,Class B,2019,Summer,June,South Dakota
Report,Class B,2019,Summer,July,Oregon
Report,Class A,2019,Summer,June,New York
Report,Class A,2019,Summer,June,New Jersey
Report,Class B,2019,Summer,June,Michigan
Report,Class B,2019,Summer,June,Idaho
Report,Class B,2019,Summer,July,Idaho
Report,Class A,2019,Summer,August,Florida
Report,Class A,2019,Summer,July,Colorado
Report,Class A,2019,Winter,December,Ohio
Report,Class A,2019,Winter,February,Ohio
Report,Class A,2019,Winter,November,North Carolina
Report,Class B,2019,Winter,March,Montana
Report,Class A,2019,Winter,January,Missouri
Report,Class A,2019,Winter,December,Georgia
Report,Class B,2018,Fall,November,Washington
Report,Class B,2018,Fall,September,Washington
Report,Class B,2018,Fall,September,Washington
Report,Class A,2018,Fall,October,Oklahoma
Report,Class B,2018,Fall,October,Kentucky
Report,Class B,2018,Fall,October,Kentucky
Report,Class A,2018,Fall,November,Idaho
Report,Class A,2018,Fall,December,Georgia
Report,Class B,2018,Fall,November,Florida
Report,Class B,2018,Fall,November,Connecticut
Report,Class B,2018,Fall,November,California
Report,Class B,2018,Fall,November,Arkansas
Report,Class B,2018,Spring,May,Wisconsin
Report,Class B,2018,Spring,March,Wisconsin
Report,Class B,2018,Spring,May,Washington
Report,Class B,2018,Spring,April,Washington
Report,Class B,2018,Spring,March,Oklahoma
Report,Class B,2018,Spring,April,Oklahoma
Report,Class A,2018,Spring,April,Ohio
Report,Class B,2018,Spring,March,New York
Report,Class B,2018,Spring,April,New Jersey
Report,Class B,2018,Spring,May,Nebraska
Report,Class B,2018,Spring,April,Missouri
Report,Class A,2018,Spring,April,Minnesota
Report,Class B,2018,Spring,May,Michigan
Report,Class B,2018,Summer,July,Wisconsin
Report,Class B,2018,Summer,June,Wisconsin
Report,Class B,2018,Summer,September,Washington
Report,Class A,2018,Summer,September,Washington
Report,Class B,2018,Summer,August,Washington
Report,Class B,2018,Summer,July,Texas
Report,Class A,2018,Summer,June,Oregon
Report,Class B,2018,Summer,June,New York
Report,Class A,2018,Summer,August,New York
Report,Class B,2018,Summer,June,Montana
Report,Class B,2018,Summer,June,Michigan
Report,Class A,2018,Summer,July,Louisiana
Report,Class A,2018,Summer,March,Indiana
Report,Class B,2018,Summer,June,Florida
Report,Class A,2018,Summer,August,Connecticut
Report,Class B,2018,Summer,August,Colorado
Report,Class A,2018,Summer,September,California
Report,Class A,2018,Summer,July,Arkansas
Report,Class B,2018,Winter,December,Washington
Report,Class B,2018,Winter,,Washington
Report,Class B,2018,Winter,March,Pennsylvania
Report,Class B,2018,Winter,January,Ohio
Report,Class B,2018,Winter,January,Ohio
Report,Class A,2018,Winter,January,Missouri
Report,Class B,2018,Winter,January,Missouri
Report,Class B,2017,Fall,October,Washington
Report,Class B,2017,Fall,September,Washington
Report,Class B,2017,Fall,December,Texas
Report,Class A,2017,Fall,November,Pennsylvania
Report,Class A,2017,Fall,October,Ohio
Report,Class A,2017,Fall,November,Missouri
Report,Class B,2017,Fall,October,Michigan
Report,Class A,2017,Fall,October,Michigan
Report,Class A,2017,Fall,September,Illinois
Report,Class B,2017,Fall,October,Idaho
Report,Class A,2017,Fall,September,Idaho
Report,Class B,2017,Spring,May,Washington
Report,Class A,2017,Spring,May,Washington
Report,Class B,2017,Spring,June,Ohio
Report,Class B,2017,Spring,April,Missouri
Report,Class A,2017,Spring,April,Michigan
Report,Class B,2017,Spring,April,Kansas
Report,Class B,2017,Summer,September,Wisconsin
Report,Class B,2017,Summer,July,West Virginia
Report,Class B,2017,Summer,August,Washington
Report,Class B,2017,Summer,July,Washington
Report,Class B,2017,Summer,August,Washington
Report,Class B,2017,Summer,June,Washington
Report,Class B,2017,Summer,September,Texas
Report,Class B,2017,Summer,,Texas
Report,Class A,2017,Summer,June,Texas
Report,Class A,2017,Summer,June,Texas
Report,Class B,2017,Summer,August,Tennessee
Report,Class B,2017,Summer,September,Oregon
Report,Class B,2017,Summer,July,Oregon
Report,Class B,2017,Summer,August,Ohio
Report,Class B,2017,Summer,June,Ohio
Report,Class A,2017,Summer,June,Ohio
Report,Class A,2017,Summer,July,Missouri
Report,Class B,2017,Summer,June,Kentucky
Report,Class A,2017,Summer,August,Kansas
Report,Class B,2017,Summer,June,Iowa
Report,Class B,2017,Summer,August,Illinois
Report,Class B,2017,Summer,August,Idaho
Report,Class B,2017,Summer,June,Idaho
Report,Class B,2017,Summer,,Idaho
Report,Class A,2017,Summer,July,Florida
Report,Class A,2017,Summer,August,Florida
Report,Class B,2017,Summer,August,Florida
Report,Class B,2017,Summer,June,Connecticut
Report,Class A,2017,Summer,,Arkansas
Report,Class A,2017,Summer,August,Arkansas
Report,Class B,2017,Winter,January,Washington
Report,Class A,2017,Winter,January,Washington
Report,Class B,2017,Winter,November,Texas
Report,Class A,2017,Winter,January,Ohio
Report,Class B,2017,Winter,February,Ohio
Report,Class A,2017,Winter,November,Montana
Report,Class A,2017,Winter,December,Minnesota
Report,Class B,2017,Winter,February,Maine
Report,Class B,2017,Winter,January,Louisiana
Report,Class B,2017,Winter,January,Georgia
Report,Class B,2017,Winter,,Florida
Report,Class A,2017,Winter,January,Florida
Report,Class A,2017,Winter,February,Arkansas
Report,Class B,2016,Fall,September,West Virginia
Report,Class A,2016,Fall,October,Washington
Report,Class A,2016,Fall,October,Washington
Report,Class B,2016,Fall,October,Ohio
Report,Class B,2016,Fall,November,New Jersey
Report,Class A,2016,Fall,November,New Jersey
Report,Class A,2016,Fall,October,Missouri
Report,Class B,2016,Fall,November,Michigan
Report,Class B,2016,Fall,November,Michigan
Report,Class A,2016,Fall,October,Kentucky
Report,Class A,2016,Fall,November,Illinois
Report,Class B,2016,Fall,November,Illinois
Report,Class B,2016,Fall,October,Idaho
Report,Class A,2016,Fall,September,Florida
Report,Class B,2016,Spring,May,Washington
Report,Class B,2016,Spring,April,Washington
Report,Class B,2016,Spring,March,Washington
Report,Class B,2016,Spring,July,Texas
Report,Class B,2016,Spring,April,Texas
Report,Class B,2016,Spring,,Texas
Report,Class B,2016,Spring,March,Pennsylvania
Report,Class B,2016,Spring,March,Oklahoma
Report,Class B,2016,Spring,June,North Carolina
Report,Class A,2016,Spring,March,New Jersey
Report,Class B,2016,Spring,May,New Hampshire
Report,Class B,2016,Spring,May,Montana
Report,Class B,2016,Spring,May,Missouri
Report,Class A,2016,Spring,April,Missouri
Report,Class B,2016,Spring,April,Massachusetts
Report,Class B,2016,Spring,May,Massachusetts
Report,Class A,2016,Summer,September,West Virginia
Report,Class A,2016,Summer,August,Washington
Report,Class B,2016,Summer,August,Washington
Report,Class B,2016,Summer,August,Washington
Report,Class A,2016,Summer,May,Washington
Report,Class A,2016,Summer,August,Virginia
Report,Class B,2016,Summer,July,Texas
Report,Class A,2016,Summer,July,Texas
Report,Class B,2016,Summer,August,Pennsylvania
Report,Class A,2016,Summer,May,Ohio
Report,Class A,2016,Summer,August,New Jersey
Report,Class A,2016,Summer,June,New Hampshire
Report,Class B,2016,Summer,August,Missouri
Report,Class A,2016,Summer,August,Michigan
Report,Class B,2016,Summer,September,Michigan
Report,Class B,2016,Summer,July,Maine
Report,Class A,2016,Summer,June,Idaho
Report,Class B,2016,Summer,August,Georgia
Report,Class B,2016,Summer,July,Connecticut
Report,Class B,2016,Summer,August,Connecticut
Report,Class B,2016,Summer,June,Arizona
Report,Class A,2016,Winter,,Wisconsin
Report,Class A,2016,Winter,January,Wisconsin
Report,Class A,2016,Winter,February,Washington
Report,Class A,2016,Winter,January,Washington
Report,Class B,2016,Winter,November,Washington
Report,Class B,2016,Winter,January,Texas
Report,Class B,2016,Winter,January,Oregon
Report,Class A,2016,Winter,December,North Carolina
Report,Class B,2016,Winter,,Massachusetts
Report,Class A,2016,Winter,January,Massachusetts
Report,Class B,2016,Winter,February,Maine
Report,Class B,2016,Winter,January,Illinois
Report,Class A,2016,Winter,December,Georgia
Report,Class B,2016,Winter,December,Florida
Report,Class B,2016,Winter,December,Colorado
Report,Class A,2016,Winter,December,Arkansas
Report,Class A,2015,Fall,November,West Virginia
Report,Class A,2015,Fall,November,West Virginia
Report,Class B,2015,Fall,October,Washington
Report,Class B,2015,Fall,October,Washington
Report,Class A,2015,Fall,November,Washington
Report,Class B,2015,Fall,September,Washington
Report,Class A,2015,Fall,September,Virginia
Report,Class B,2015,Fall,November,Vermont
Report,Class B,2015,Fall,October,Vermont
Report,Class A,2015,Fall,October,Texas
Report,Class B,2015,Fall,September,Oklahoma
Report,Class B,2015,Fall,October,Ohio
Report,Class B,2015,Fall,November,Ohio
Report,Class B,2015,Fall,September,Ohio
Report,Class A,2015,Fall,October,Ohio
Report,Class B,2015,Fall,December,Ohio
Report,Class B,2015,Fall,October,North Carolina
Report,Class A,2015,Fall,October,North Carolina
Report,Class B,2015,Fall,September,Missouri
Report,Class B,2015,Fall,October,Missouri
Report,Class B,2015,Fall,September,Massachusetts
Report,Class B,2015,Fall,September,Massachusetts
Report,Class B,2015,Fall,November,Maine
Report,Class B,2015,Fall,October,Kentucky
Report,Class B,2015,Fall,October,Kentucky
Report,Class A,2015,Fall,November,Illinois
Report,Class A,2015,Fall,November,Illinois
Report,Class B,2015,Fall,November,Illinois
Report,Class A,2015,Fall,October,Idaho
Report,Class A,2015,Fall,November,Florida
Report,Class B,2015,Fall,September,Florida
Report,Class B,2015,Fall,September,California
Report,Class A,2015,Fall,November,Arkansas
Report,Class B,2015,Spring,May,Washington
Report,Class B,2015,Spring,May,Washington
