Report Type,Class,Submitted Date,Year,Season,Month,State,County
Report,Class A,"Friday, April 7, 2006.",1870,Fall,,California,Stanislaus
Report,Class B,"Friday, June 18, 1999.",1890,Winter,,Wyoming,Sweetwater
Report,Class C,"Tuesday, February 2, 1999.",1905,Summer,,Tennessee,Carroll
Report,Class B,"Thursday, April 17, 1997.",1910,Unknown,,Michigan,Livingston
Report,Class C,"Monday, October 6, 1997.",1920,Spring,,Arkansas,Logan
Report,Class B,"Friday, February 2, 2001.",1920,Unknown,,Arizona,Gila
Report,Class A,"Tuesday, April 11, 2006.",1921,Winter,January,Pennsylvania,Clearfield
Report,Class B,"Wednesday, August 13, 2008.",1925,Fall,,Louisiana,Avoyelles
Report,Class B,"Monday, January 13, 2003.",1926,Unknown,,Colorado,Jackson
Report,Class B,"Friday, October 9, 1998.",1930,Fall,,Texas,Leon
Report,Class B,"Thursday, July 3, 2008.",1932,Unknown,,Missouri,Buchanan
Report,Class A,"Friday, April 7, 2006.",1937,Summer,August,Indiana,Warrick
Report,Class B,"Wednesday, July 17, 1996.",1938,Unknown,,Texas,Ellis
Report,Class B,"Thursday, March 2, 2000.",1940,Unknown,,Colorado,Costilla
Report,Class A,"Saturday, November 14, 1998.",1941,Fall,,Washington,Yakima
Report,Class B,"Saturday, November 27, 1999.",1942,Spring,,Oklahoma,Harmon
Report,Class A,"Saturday, May 12, 2001.",1943,Fall,October,Arkansas,Lonoke
Report,Class A,"Monday, November 18, 2002.",1943,Fall,August,Ohio,Ashland
Report,Class A,"Thursday, July 26, 2001.",1944,Summer,August,California,Siskiyou
Report,Class B,"Tuesday, February 22, 2011.",1944,Summer,July,Michigan,Alger
Report,Class A,"Saturday, October 10, 2015.",1945,Spring,,Illinois,White
Report,Class A,"Saturday, February 10, 2001.",1948,Unknown,,Washington,Clallam
Report,Class A,"Monday, October 27, 2003.",1949,Summer,,Alabama,Madison
Report,Class A,"Thursday, May 27, 2004.",1949,Fall,,Oregon,Coos
Report,Class B,"Saturday, February 25, 2012.",1949,Fall,September,Washington,Okanogan
Report,Class A,"Saturday, March 4, 2000.",1950,Summer,July,California,San Bernardino
Report,Class A,"Friday, January 25, 2002.",1950,Summer,,California,Ventura
Report,Class A,"Sunday, January 19, 2003.",1950,Summer,,Kentucky,Martin
Report,Class A,"Wednesday, October 5, 2011.",1950,Summer,August,Michigan,Otsego
Report,Class A,"Thursday, November 18, 1999.",1950,Summer,,Mississippi,Attala
Report,Class B,"Tuesday, January 2, 2001.",1950,Spring,,Washington,Skamania
Report,Class A,"Thursday, May 8, 2014.",1953,Summer,,Alabama,Henry
Report,Class A,"Saturday, October 28, 2006.",1953,Summer,August,Connecticut,New Haven
Report,Class B,"Saturday, July 4, 2015.",1953,Summer,August,Illinois,Lawrence
Report,Class A,"Monday, January 1, 2001.",1953,Fall,October,Kentucky,Casey
Report,Class B,"Sunday, November 22, 1998.",1954,Unknown,,Missouri,Gasconade
Report,Class A,"Sunday, January 14, 2001.",1955,Fall,August,California,Tulare
Report,Class A,"Saturday, November 12, 2005.",1955,Unknown,,Florida,Hillsborough
Report,Class B,"Tuesday, August 19, 2008.",1955,Unknown,,Tennessee,Lawrence
Report,Class A,"Tuesday, September 17, 2002.",1956,Fall,,California,Nevada
Report,Class A,"Sunday, December 15, 1996.",1956,Fall,October,Missouri,Washington
Report,Class B,"Monday, July 14, 1997.",1956,Unknown,,Ohio,Vinton
Report,Class A,"Saturday, July 2, 2005.",1956,Summer,July,Oregon,Douglas
Report,Class A,"Monday, October 3, 2016.",1957,Winter,,Illinois,Tazewell
